MUSICX2206,Music,2206
MUPSYZ2206,Music Psychology,2206
PEACEX2206,Peace and Conflict Studies,2206
PEACEY2206,Peace and Conflict Studies,2206
PHILOX2206,Philosophy,2206
PHILOY2206,Philosophy,2206
POLISX2206,Political Science,2206
POLISY2206,Political Science,2206
POPMTX2206,Popular Music and Technology,2206
PROWRX2206,Professional Writing and Communication,2206
PSYCHX2206,Psychology,2206
PSYCHY2206,Psychology,2206
PUBPLX2206,Public Policy,2206
RUSSIX2206,Russian,2206
SOCIOX2206,Sociology,2206
SOCIOY2206,Sociology,2206
SPANAY2206,Spanish,2206
SPANAX2206,Spanish,2206
SPORTX2206,Sports Studies,2206
SPORTY2206,Sports Studies,2206
STUACZ2206,Studies in Australian Culture,2206
RELIGY2206,Studies in Religion,2206
RELIGX2206,Studies in Religion,2206
TOURIX2206,Tourism Management,2206
WRITIX2206,Writing,2206
WRITIY2206,Writing,2206
ABORIX2361,Aboriginal and Torres Strait Islander Studies,2361
ANCIEY2361,Ancient History,2361
ANCIEX2361,Ancient History,2361
ANCHHX2361,Ancient History/History,2361
ANTHRX2361,Anthropology,2361
ANTHRY2361,Anthropology,2361
ARCHAX2361,Archaeology,2361
ARCHAY2361,Archaeology,2361
ARTHIX2361,Art History,2361
ARTHIY2361,Art History,2361
CHINAX2361,Chinese,2361
CHINAY2361,Chinese,2361
CHITIX2361,Chinese Translation and Interpreting,2361
CHITIY2361,Chinese Translation and Interpreting,2361
CLLATX2361,Classical Languages,2361
CLLATY2361,Classical Languages,2361
CRIMIX2361,Criminology,2361
CRIMIY2361,Criminology,2361
DRAMAX2361,Drama,2361
DRAMAY2361,Drama,2361
ECONOX2361,Economics,2361
ECONOY2361,Economics,2361
ENGLIX2361,English,2361
ENGLIY2361,English,2361
ENLITX2361,English Literature,2361
ENLITY2361,English Literature,2361
FILMTX2361,Film and Television Studies,2361
FRENAX2361,French,2361
FRENAY2361,French,2361
GENDRZ2361,Gender Studies,2361
GEOPHX2361,Geography,2361
GEOPHY2361,Geography,2361
GERMAX2361,German,2361
GERMAY2361,German,2361
HISTOX2361,History,2361
HISTOY2361,History,2361
INDOAX2361,Indonesian,2361
INDOAY2361,Indonesian,2361
INTERX2361,International Relations,2361
INTERY2361,International Relations,2361
ITALIX2361,Italian,2361
JAPNAX2361,Japanese,2361
JAPNAY2361,Japanese,2361
JOURMX2361,Journalism and Mass Communication,2361
KORNAX2361,Korean,2361
KORNAY2361,Korean,2361
LATINZ2361,Latin American Studies,2361
LINGUX2361,Linguistics,2361
LINGUY2361,Linguistics,2361
MATHEX2361,Mathematics,2361
MATHEY2361,Mathematics,2361
MDIGCX2361,Media and Digital Cultures,2361
MUSICY2361,Music,2361
MUSICX2361,Music,2361
MUPSYZ2361,Music Psychology,2361
PEACEX2361,Peace and Conflict Studies,2361
PEACEY2361,Peace and Conflict Studies,2361
PHILOX2361,Philosophy,2361
PHILOY2361,Philosophy,2361
POLISX2361,Political Science,2361
POLISY2361,Political Science,2361
POPMTX2361,Popular Music and Technology,2361
PROWRX2361,Professional Writing and Communication,2361
PSYCHX2361,Psychology,2361
PSYCHY2361,Psychology,2361
PUBPLX2361,Public Policy,2361
RUSSIX2361,Russian,2361
SOCIOX2361,Sociology,2361
SOCIOY2361,Sociology,2361
SPANAX2361,Spanish,2361
SPANAY2361,Spanish,2361
SPORTX2361,Sports Studies,2361
SPORTY2361,Sports Studies,2361
STUACZ2361,Studies in Australian Culture,2361
RELIGY2361,Studies in Religion,2361
RELIGX2361,Studies in Religion,2361
WRITIX2361,Writing,2361
WRITIY2361,Writing,2361
ABORIX2067,Aboriginal and Torres Strait Islander Studies,2067
ANCIEY2067,Ancient History,2067
ANCIEX2067,Ancient History,2067
ANCHHX2067,Ancient History/History,2067
ANTHRX2067,Anthropology,2067
ANTHRY2067,Anthropology,2067
ARCHAX2067,Archaeology,2067
ARCHAY2067,Archaeology,2067
ARTHIX2067,Art History,2067
ARTHIY2067,Art History,2067
CHINAX2067,Chinese,2067
CHINAY2067,Chinese,2067
CHITIX2067,Chinese Translation and Interpreting,2067
CHITIY2067,Chinese Translation and Interpreting,2067
CLLATX2067,Classical Languages,2067
CLLATY2067,Classical Languages,2067
CRIMIX2067,Criminology,2067
CRIMIY2067,Criminology,2067
DEVELX2067,Development,2067
DRAMAX2067,Drama,2067
DRAMAY2067,Drama,2067
ECONOX2067,Economics,2067
ECONOY2067,Economics,2067
ENGLIX2067,English,2067
ENGLIY2067,English,2067
ENLITX2067,English Literature,2067
ENLITY2067,English Literature,2067
ENVSOX2067,Environment and Society,2067
FILMTX2067,Film and Television Studies,2067
FRENAX2067,French,2067
FRENAY2067,French,2067
GENDRZ2067,Gender Studies,2067
GEOPHX2067,Geography,2067
GEOPHY2067,Geography,2067
GERMAX2067,German,2067
GERMAY2067,German,2067
HLTSOX2067,Health and Society,2067
HISTOY2067,History,2067
HISTOX2067,History,2067
INDOAX2067,Indonesian,2067
INDOAY2067,Indonesian,2067
INTERX2067,International Relations,2067
INTERY2067,International Relations,2067
ITALIX2067,Italian,2067
JAPNAX2067,Japanese,2067
JAPNAY2067,Japanese,2067
JOURMX2067,Journalism and Mass Communication,2067
KORNAX2067,Korean,2067
KORNAY2067,Korean,2067
LATINZ2067,Latin American Studies,2067
LINGUX2067,Linguistics,2067
LINGUY2067,Linguistics,2067
MATHEX2067,Mathematics,2067
MATHEY2067,Mathematics,2067
MDIGCX2067,Media and Digital Cultures,2067
MUSICY2067,Music,2067
MUSICX2067,Music,2067
MUPSYZ2067,Music Psychology,2067
PEACEX2067,Peace and Conflict Studies,2067
PEACEY2067,Peace and Conflict Studies,2067
PHILOX2067,Philosophy,2067
PHILOY2067,Philosophy,2067
POLISX2067,Political Science,2067
POLISY2067,Political Science,2067
POPMTX2067,Popular Music and Technology,2067
PROWRX2067,Professional Writing and Communication,2067
PSYCHX2067,Psychology,2067
PSYCHY2067,Psychology,2067
PUBPLX2067,Public Policy,2067
RUSSIX2067,Russian,2067
SOCPPX2067,Social and Public Policy,2067
SPANAY2067,Spanish,2067
SPANAX2067,Spanish,2067
SPORTX2067,Sports Studies,2067
SPORTY2067,Sports Studies,2067
STUACZ2067,Studies in Australian Culture,2067
RELIGX2067,Studies in Religion,2067
RELIGY2067,Studies in Religion,2067
WRITIX2067,Writing,2067
WRITIY2067,Writing,2067
BIOINX2375,Bioinformatics,2375
BIOINY2375,Bioinformatics and Innovation Management,2375
PROBIX2375,Bioprocess Technology,2375
PROBIY2375,Bioprocess Technology and Innovation Management,2375
CHEBIX2375,Chemical Biotechnology,2375
CHEBIY2375,Chemical Biotechnology and Innovation Management,2375
DRUGDY2375,Drug Design & Development & Innovation Management,2375
DRUGDX2375,Drug Design and Development,2375
MICBIX2375,Microbial Biotechnology,2375
MICBIY2375,Microbial Biotechnology and Innovation Management,2375
MOLBIX2375,Molecular Biotechnology,2375
MOLBIY2375,Molecular Biotechnology and Innovation Management,2375
NANOTX2375,Nanotechnology,2375
NANOTY2375,Nanotechnology and Innovation Management,2375
PLABIX2375,Plant Biotechnology,2375
PLABIY2375,Plant Biotechnology and Innovation Management,2375
ADVERX2059,Advertising,2059
BUSECX2059,Business Economics,2059
BISYSX2059,Business Information Systems,2059
HMRESX2059,Human Resources,2059
INTERX2059,International Business,2059
MARKEX2059,Marketing,2059
REALEX2059,Real Estate and Development,2059
MANAGX2129,Management,2129
REALEX2129,Real Estate and Development,2129
ARCHSX2416,Archaeological Science,2416
ARCHSY2416,Archaeological Science,2416
BIMOLX2416,Biochemistry and Molecular Biology,2416
BIOINX2416,Bioinformatics,2416
BIOMSX2416,Biomedical Science,2416
BIOMSY2416,Biomedical Science,2416
BIPHYW2416,Biophysics,2416
CHMSCW2416,Chemical Sciences,2416
CHMSTX2416,Chemistry,2416
COBMOW2416,Computational Sc and Biochem & Molecular Biol,2416
COBIOW2416,Computational Science and Biomedical Science,2416
COCHEW2416,Computational Science and Chemistry,2416
COCOMW2416,Computational Science and Computer Science,2416
COECOW2416,Computational Science and Ecology,2416
COGENW2416,Computational Science and Genetics,2416
COGESW2416,Computational Science and Geographical Sciences,2416
COGEOW2416,Computational Science and Geological Sciences,2416
COMARW2416,Computational Science and Marine Science,2416
COMATW2416,Computational Science and Mathematics,2416
COMICW2416,Computational Science and Microbiology,2416
COPHYW2416,Computational Science and Physics,2416
COPLAW2416,Computational Science and Plant Science,2416
COPSYW2416,Computational Science and Psychology,2416
COSTAW2416,Computational Science and Statistics,2416
COZOOW2416,Computational Science and Zoology,2416
COSCIY2416,Computer Science,2416
COSCIX2416,Computer Science,2416
ECOLGX2416,Ecology,2416
FOODSW2416,Food Science and Nutrition,2416
FOODTX2416,Food Science and Technology,2416
FOODTY2416,Food Science and Technology,2416
GENTCX2416,Genetics,2416
GEOSCX2416,Geographical Sciences,2416
GEOLSX2416,Geological Sciences,2416
GEOLSY2416,Geological Sciences,2416
MARBIY2416,Marine Biology,2416
MARSCX2416,Marine Science,2416
MATHSX2416,Mathematics,2416
MATHSY2416,Mathematics,2416
MICRBX2416,Microbiology,2416
PHYSCX2416,Physics,2416
PHYSCY2416,Physics,2416
PLANTX2416,Plant Science,2416
PSYCOX2416,Psychology,2416
PSYCOY2416,Psychology,2416
PUBHLX2416,Public Health,2416
STATCX2416,Statistics,2416
ZOOLGX2416,Zoology,2416
BUSECX2273,Business Economics,2273
ABORIX2074,Aboriginal and Torres Strait Islander Studies,2074
ADVERX2074,Advertising,2074
ANCIEY2074,Ancient History,2074
ANCIEX2074,Ancient History,2074
ANCHHX2074,Ancient History/History,2074
ANTHRX2074,Anthropology,2074
ANTHRY2074,Anthropology,2074
ARCHAX2074,Archaeology,2074
ARCHAY2074,Archaeology,2074
ARTHIX2074,Art History,2074
ARTHIY2074,Art History,2074
BUSECX2074,Business Economics,2074
BISYSX2074,Business Information Systems,2074
CHINAX2074,Chinese,2074
CHINAY2074,Chinese,2074
CHITIX2074,Chinese Translation and Interpreting,2074
CHITIY2074,Chinese Translation and Interpreting,2074
CLLATX2074,Classical Languages,2074
CLLATY2074,Classical Languages,2074
CRIMIX2074,Criminology,2074
CRIMIY2074,Criminology,2074
DRAMAX2074,Drama,2074
DRAMAY2074,Drama,2074
ECONOX2074,Economics,2074
ECONOY2074,Economics,2074
ENGLIX2074,English,2074
ENGLIY2074,English,2074
ENLITX2074,English Literature,2074
ENLITY2074,English Literature,2074
FILMTX2074,Film and Television Studies,2074
FRENAX2074,French,2074
FRENAY2074,French,2074
GENDRZ2074,Gender Studies,2074
GEOPHX2074,Geography,2074
GEOPHY2074,Geography,2074
GERMAX2074,German,2074
GERMAY2074,German,2074
HISTOX2074,History,2074
HISTOY2074,History,2074
HMRESX2074,Human Resources,2074
INDOAX2074,Indonesian,2074
INDOAY2074,Indonesian,2074
INTERZ2074,International Business,2074
INTERY2074,International Relations,2074
INTERX2074,International Relations,2074
ITALIX2074,Italian,2074
JAPNAX2074,Japanese,2074
JAPNAY2074,Japanese,2074
JOURMX2074,Journalism and Mass Communication,2074
KORNAX2074,Korean,2074
KORNAY2074,Korean,2074
LATINZ2074,Latin American Studies,2074
LINGUX2074,Linguistics,2074
LINGUY2074,Linguistics,2074
MARKEX2074,Marketing,2074
MATHEX2074,Mathematics,2074
MATHEY2074,Mathematics,2074
MDIGCX2074,Media and Digital Cultures,2074
MUSICY2074,Music,2074
MUSICX2074,Music,2074
MUPSYZ2074,Music Psychology,2074
PEACEX2074,Peace and Conflict Studies,2074
PEACEY2074,Peace and Conflict Studies,2074
PHILOX2074,Philosophy,2074
PHILOY2074,Philosophy,2074
POLISX2074,Political Science,2074
POLISY2074,Political Science,2074
POPMTX2074,Popular Music and Technology,2074
PROWRX2074,Professional Writing and Communication,2074
PSYCHX2074,Psychology,2074
